date,uk_hpi,london_hpi,Wales,Scotland,northern_ireland,north_east,north_west,yorkshire,east_midlands,west_midlands,East ,south_east,south_west
01/01/2011,59.1,54,59.9,71.3,69.3,73.5,61.2,63.3,55.8,59.0,55.0,56.3,59.0
01/02/2011,58.7,53.5,60.0,69.2,69.3,73.3,60.8,64.3,56.2,58.1,54.4,56.4,58.6
01/03/2011,58.5,53.8,58.7,69.3,69.3,72.6,60.2,62.8,55.8,57.6,54.8,56.1,58.6
01/04/2011,59.4,55.1,60.6,71.4,68.2,74.9,61.0,64.7,56.1,58.6,55.0,56.7,58.8
01/05/2011,59.1,53.4,60.1,71.4,68.2,75.3,60.7,64.7,56.3,58.6,55.1,56.8,58.5
01/06/2011,59.2,53.6,60.2,72.1,68.2,75.1,60.5,64.0,56.4,58.7,54.9,57.0,59.2
01/07/2011,60,55.5,60.3,73.3,67.0,73.8,61.4,64.4,57.3,58.8,55.7,57.7,59.7
01/08/2011,60,55.3,60.7,72.8,67.0,73.4,61.9,65.0,57.5,58.8,55.9,57.3,59.9
01/09/2011,59.9,55.4,61.5,72.5,67.0,73.5,61.5,64.6,56.8,59.4,55.4,57.5,59.2
01/10/2011,59.2,54.8,59.9,71.0,65.2,72.9,61.1,63.5,56.3,58.3,55.4,56.7,59.3
01/11/2011,59.2,54.6,61.2,70.5,65.2,73.4,60.0,63.8,56.4,58.7,55.7,57.1,59.0
01/12/2011,59,54.8,59.8,69.2,65.2,72.3,60.3,63.7,56.8,57.8,55.4,57.0,58.5
01/01/2012,58.6,55.2,59.6,69.1,61.0,70.9,59.3,62.3,55.8,58.4,55.7,56.6,59.3
01/02/2012,58.4,54.8,59.3,67.0,61.0,71.4,60.0,62.8,55.7,57.8,55.3,56.8,59.2
01/03/2012,58.6,54.5,59.2,68.9,61.0,73.2,60.2,63.2,56.1,58.3,54.9,56.9,58.7
01/04/2012,59.3,56.1,60.1,68.8,61.1,72.8,60.4,62.9,56.7,58.2,56.0,58.0,59.6
01/05/2012,59.4,57,60.2,69.5,61.1,72.5,60.0,63.7,56.6,58.0,56.3,58.1,59.4
01/06/2012,60,57.5,61.0,70.5,61.1,73.7,61.2,64.3,57.1,59.4,56.2,58.3,59.9
01/07/2012,60.3,57.9,60.7,70.1,59.5,73.5,60.8,64.4,57.7,59.3,57.0,58.9,60.4
01/08/2012,60.3,58.1,60.4,69.7,59.5,75.1,61.3,64.7,57.2,59.3,57.0,59.2,60.0
01/09/2012,60.1,57.8,60.0,69.2,59.5,74.1,61.2,64.1,57.0,59.3,56.6,59.4,59.8
01/10/2012,59.7,58.2,59.5,68.5,58.0,73.3,59.8,63.5,57.0,58.6,56.8,58.4,59.9
01/11/2012,59.7,57.9,60.3,67.7,58.0,73.3,60.7,64.0,57.1,59.2,56.6,58.4,59.8
01/12/2012,59.6,58.8,59.6,67.1,58.0,72.1,60.2,63.7,56.9,59.3,56.4,58.7,58.7
01/01/2013,59.2,58.4,59.8,67.4,56.7,71.3,58.7,61.7,56.3,58.4,56.4,58.5,59.3
01/02/2013,59.2,58.8,59.0,66.1,56.7,70.3,59.9,62.9,56.3,58.5,55.9,58.2,59.1
01/03/2013,59.5,58.6,59.6,66.7,56.7,72.2,59.8,62.7,56.7,58.8,57.0,58.5,59.5
01/04/2013,60.1,60.2,59.4,67.8,57.8,72.4,60.1,62.9,57.0,58.9,57.1,59.2,60.4
01/05/2013,60.4,60.4,60.3,68.9,57.8,72.7,60.3,63.9,57.7,59.3,56.9,59.3,60.2
01/06/2013,61,60.9,60.7,69.9,57.8,72.5,61.1,64.2,57.8,60.2,57.5,60.0,60.3
01/07/2013,61.6,62.4,60.3,70.6,58.9,74.4,61.1,64.6,58.3,60.5,58.5,60.7,60.9
01/08/2013,62.1,63,61.4,71.3,58.9,75.4,62.0,64.8,58.9,61.0,58.7,60.9,61.4
01/09/2013,62.2,63.9,61.0,70.2,58.9,74.7,61.9,65.4,58.7,60.3,58.7,61.1,61.8
01/10/2013,61.9,63.8,60.1,70.0,59.3,70.8,60.8,64.3,59.1,60.8,59.2,61.1,61.6
01/11/2013,62.3,64.5,61.0,70.7,59.3,73.1,61.3,64.7,58.7,61.0,58.8,61.6,61.7
01/12/2013,62.8,66,60.3,69.8,59.3,72.9,61.9,65.5,59.7,61.2,60.2,62.1,62.0
01/01/2014,62.9,66.7,61.7,69.8,60.3,71.8,61.1,64.6,59.4,61.2,59.8,62.6,61.9
01/02/2014,63.2,67.1,62.1,68.7,60.3,72.0,61.9,65.6,60.0,60.9,60.2,62.7,62.1
01/03/2014,63.4,67.8,61.2,69.6,60.3,73.0,61.3,64.7,59.9,61.7,60.5,63.2,62.6
01/04/2014,64.8,70.4,62.2,71.2,62.3,74.2,62.9,66.6,61.1,62.5,61.7,64.2,63.7
01/05/2014,65.5,71.8,63.6,72.4,62.3,74.4,63.2,67.0,61.4,62.7,62.8,65.3,63.7
01/06/2014,66,72.6,63.3,73.3,62.3,76.0,64.0,67.0,62.0,63.5,63.3,65.9,63.9
01/07/2014,67,74.8,63.6,74.3,63.6,76.1,64.4,67.8,62.5,63.6,64.4,67.0,65.3
01/08/2014,67.8,75.9,64.1,74.5,63.6,76.1,65.1,68.6,63.4,64.6,65.1,67.9,66.1
01/09/2014,67.8,75.7,64.8,74.1,63.6,75.4,65.0,67.7,63.5,64.4,65.7,68.4,66.6
01/10/2014,67.7,75.4,64.1,74.2,64.5,74.4,64.7,68.1,63.1,64.4,66.0,68.5,66.2
01/11/2014,67.5,75.2,64.2,73.3,64.5,74.5,64.5,67.9,63.0,64.3,65.7,68.3,65.8
01/12/2014,67.7,75.6,64.2,72.9,64.5,74.5,64.4,68.4,63.0,64.5,66.0,68.7,66.1
01/01/2015,67.3,75.5,63.9,74.2,64.6,73.5,64.1,66.9,62.9,63.9,66.3,68.8,66.5
01/02/2015,67.4,75.9,63.6,72.9,64.6,74.4,64.6,67.3,63.1,64.6,66.6,68.8,65.6
01/03/2015,67.6,75.9,63.4,76.8,64.6,73.8,63.7,67.7,63.3,64.1,66.7,68.9,66.2
01/04/2015,68.2,77,64.3,73.7,66.6,76.3,64.7,68.0,63.7,65.1,67.4,69.8,67.0
01/05/2015,68.9,78,64.5,74.6,66.6,75.7,65.8,69.6,64.5,65.5,68.3,70.5,67.3
01/06/2015,69.5,78.7,65.0,75.3,66.6,76.9,65.6,69.7,65.0,66.2,68.6,71.5,67.9
01/07/2015,70.7,80.9,65.3,76.4,68.6,77.0,66.7,71.1,66.0,66.8,70.2,72.7,68.7
01/08/2015,71.3,81.8,66.0,76.2,68.6,77.6,67.1,71.4,66.8,67.6,71.0,73.6,69.7
01/09/2015,71.4,82.5,65.8,76.0,68.6,77.4,67.3,71.0,66.4,67.4,71.8,73.9,70.1
01/10/2015,71.5,82.6,66.1,75.7,69.2,76.2,66.9,70.9,67.0,67.4,72.2,74.4,70.0
01/11/2015,72.1,83.5,66.1,76.1,69.2,77.2,67.3,71.2,67.3,68.0,73.1,75.0,70.7
01/12/2015,72.3,84.4,66.4,75.1,69.2,77.5,67.3,71.5,67.6,68.1,73.5,75.7,70.8
01/01/2016,72.5,85.8,65.7,75.2,69.2,76.0,67.4,71.0,67.5,68.3,74.1,76.3,70.7
01/02/2016,72.6,85.8,66.9,74.0,69.2,76.0,67.4,71.3,67.3,67.9,74.2,76.8,71.0
01/03/2016,73.3,87.1,66.4,74.9,69.2,77.1,66.6,70.6,67.6,68.1,75.4,78.0,72.9
01/04/2016,73.6,86.5,66.6,75.0,71.8,76.8,69.1,72.8,68.7,69.6,75.4,77.4,71.1
01/05/2016,74.4,87.7,67.7,76.0,71.8,78.2,69.6,73.0,69.1,70.3,76.8,78.3,72.2
01/06/2016,75.2,87.8,68.7,77.1,71.8,79.6,69.8,73.8,69.6,71.1,77.6,79.3,73.0
01/07/2016,75.9,89.2,68.7,78.2,72.6,80.1,70.8,74.3,70.3,71.2,78.6,80.3,73.6
01/08/2016,76,88.5,68.2,77.4,72.6,79.1,70.8,74.4,70.6,72.0,78.8,80.6,73.9
01/09/2016,75.8,88.5,68.0,77.2,72.6,78.3,70.7,73.9,70.9,72.0,79.3,79.9,74.0
01/10/2016,75.6,88.3,68.8,76.7,72.8,77.9,69.9,73.9,70.6,71.3,79.2,80.0,73.6
01/11/2016,75.9,88.3,68.6,77.4,72.8,78.4,70.5,74.3,71.1,72.1,79.4,80.0,74.0
01/12/2016,76.1,88.6,68.7,76.0,72.8,79.3,70.5,74.9,71.5,72.3,80.1,80.3,73.8
01/01/2017,76,89.2,68.7,76.0,72.7,76.6,70.4,73.1,70.8,71.8,79.9,81.3,74.6
01/02/2017,76.1,89.4,68.4,74.8,72.7,77.8,71.1,74.0,71.7,72.3,80.5,80.6,74.7
01/03/2017,76,89.2,69.3,75.2,72.7,76.4,70.5,73.5,71.6,72.3,80.0,80.7,74.4
01/04/2017,77.2,90,70.3,77.5,74.1,78.4,71.7,75.3,72.8,73.0,81.2,81.5,75.1
01/05/2017,77.6,90.2,69.2,78.1,74.1,79.7,72.1,75.9,73.2,73.7,81.9,81.9,75.7
01/06/2017,78.3,90,70.5,78.9,74.1,80.4,73.1,76.5,73.7,74.5,82.3,82.7,76.5
01/07/2017,79.3,91.6,70.8,81.1,75.1,80.3,73.9,76.9,75.0,75.3,83.6,83.4,77.7
01/08/2017,79.7,91.3,71.7,80.9,75.1,81.4,74.6,77.6,74.8,76.2,83.5,84.0,78.2
01/09/2017,79.4,90.7,71.9,79.4,75.1,80.0,74.3,77.6,75.2,75.8,83.7,83.8,77.9
01/10/2017,79.5,90.3,72.7,79.7,75.5,80.7,74.1,77.1,75.3,76.0,83.8,83.7,78.4
01/11/2017,79.2,89.3,71.8,80.4,75.5,79.8,74.3,77.2,75.3,75.9,83.4,83.2,77.9
01/12/2017,79.5,89.4,72.1,79.8,75.5,81.6,74.8,77.8,75.7,76.7,83.9,83.3,77.8
01/01/2018,79.3,90,71.8,80.7,75.9,77.9,73.3,76.6,75.5,75.6,83.9,83.4,78.9
01/02/2018,79.5,89.6,71.9,80.2,75.9,79.3,74.2,76.5,76.6,76.7,83.7,83.5,78.3
01/03/2018,79,88.6,72.2,79.5,75.9,77.8,73.3,76.9,75.6,76.5,83.2,83.1,78.3
01/04/2018,79.8,89.5,72.0,81.6,76.9,80.5,74.3,77.3,76.6,77.0,83.5,83.5,78.1
01/05/2018,80.1,89.7,72.6,81.7,76.9,80.8,74.8,78.4,77.3,77.0,83.7,83.6,78.4
01/06/2018,80.6,90,73.6,82.4,76.9,80.3,75.5,78.8,77.4,78.0,84.1,84.4,78.9
01/07/2018,81.6,90.9,74.4,83.4,78.4,82.3,76.5,79.6,78.3,79.0,85.4,85.0,80.2
01/08/2018,81.9,89.9,75.5,83.6,78.4,81.8,76.8,80.6,78.8,79.2,85.4,85.2,80.7
01/09/2018,81.7,89.4,75.2,83.2,78.4,81.7,76.8,79.7,79.4,79.7,85.0,85.0,80.8
