region_code,region_name,LA_code,LA_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E12000007,London,E09000001,City of London,4.61,5.5,5.45,5.5,6.01,6.04,6.88,6.46,6.78,6.98,7.91,7.47,7.32,8.66,8.37,8.78,10.61,12.79,15.25,14.42,15.1,14.51,14.95,14.82,12.67,13.73,15,11.72
E12000007,London,E09000002,Barking and Dagenham,3.02,2.58,2.93,3.32,3.85,4.31,5.41,5.97,6.11,6.21,5.96,6.5,5.28,5.85,6.03,5.19,5.54,6.27,7.12,8.94,10.58,10.17,10.98,9.86,10.31,11.41,11.01,10.12
E12000007,London,E09000003,Barnet,5.45,6.1,6.59,6.98,8.13,8.48,9.44,9.8,9.25,10.16,10.57,10.29,9.18,10.58,10.81,10.98,11.41,12.52,14.24,14.41,15.91,17.21,16.28,16.24,16.44,17.34,14.59,16.69
E12000007,London,E09000004,Bexley,3.88,4.11,4.48,4.93,5.54,6.26,7.15,8.26,7.6,7.69,7.86,7.59,6.91,7.57,7.58,7.69,7.72,8.74,9.14,11.04,10.9,11.34,11.21,11.55,13.26,11.87,11.63,11.07
E12000007,London,E09000005,Brent,4.59,4.92,5.72,5.95,7.04,8.38,8.99,9.56,9.71,9.83,10.64,10.36,9.82,10.77,11.21,11.5,12.13,12.68,13.34,14.66,15.76,16.3,15.61,14.39,15.46,12.51,15.21,14.67
E12000007,London,E09000006,Bromley,5.75,5.94,6.67,7.93,9.43,10.22,10.45,10.38,9.49,9.33,9.74,9.55,9.16,9.74,9.76,9.79,10.22,11.64,11.99,13.25,14.59,14.3,13.85,12.87,14.38,13.65,12.71,12.03
E12000007,London,E09000007,Camden,6.51,6.86,7.71,8.89,9.09,9.88,9.33,9.67,10.22,10.64,12.1,12.46,11.27,12.59,13.62,13.39,15.69,17.69,18.46,19.49,20.1,19.39,19.26,19.79,18.9,18.39,17.65,15.66
E12000007,London,E09000008,Croydon,3.8,4.09,4.34,4.81,5.91,6.31,7.37,7.51,7.87,7.68,8.47,8.37,7.26,7.52,7.59,7.8,7.6,8.02,9.63,10.51,11.21,11.09,10.8,11.34,11.8,10.72,10.85,9.58
E12000007,London,E09000009,Ealing,4.53,5,5.69,6.31,6.7,7.4,8.62,8.51,8.7,9.22,9.46,9.51,8.85,9.57,9.98,9.74,10.93,12.84,14.48,15.73,16.19,15.62,15.15,14.84,15.92,15.1,14.05,13.13
E12000007,London,E09000010,Enfield,4.25,4.31,4.67,4.85,5.18,5.88,7.79,6.89,8.13,8.25,8.62,9.24,8.09,8.71,9.09,9.03,9.69,10.85,12.2,12.97,13.8,13.68,14.46,13.49,14.93,12.68,13.24,11.79
E12000007,London,E09000011,Greenwich,3.41,3.63,3.96,4.7,5.73,6.52,7,6.99,7.42,7.58,7.47,7.61,7.3,7.54,8.35,8.14,8.72,10.71,10.89,12.76,12.87,12.97,13.78,13.04,13.36,14.09,12.56,11.76
E12000007,London,E09000012,Hackney,3.39,3.4,4.44,5.36,6.37,7.12,7.71,7.87,7.61,7.97,8.62,8.63,8.08,8.34,8.8,9.19,11.12,12.68,14.63,16.57,15.77,15.59,16.45,17.67,15.28,13.96,13.31,11.88
E12000007,London,E09000013,Hammersmith and Fulham,5.95,7.07,7.2,8.63,9.12,8.92,9.26,10.12,10.31,11.32,11.78,12.58,11.23,13.13,12.73,13.52,15.92,18.55,21.06,20.86,20.69,19.28,19.06,18.6,19.53,18.66,18.17,16.61
E12000007,London,E09000014,Haringey,4.32,4.98,5.43,6.45,7.13,7.74,8.48,8.84,9.08,8.56,9.51,9.04,8.77,9.46,10.81,10.65,11.15,12.7,14.02,15.46,16.86,17.48,16.88,15.17,16.62,17.28,16.27,14.32
E12000007,London,E09000015,Harrow,4.86,5.01,5.68,6.42,6.97,8.06,9.87,9.7,9.52,9.78,10.53,10.28,9.08,10.14,10.71,11.22,12.22,13.63,14.46,14.73,16,15.55,13.96,15.69,15.38,15.69,15.22,14.93
E12000007,London,E09000016,Havering,4.56,4.98,5.1,5.88,6.63,8.56,9.22,10.14,8.03,7.58,8.36,7.85,7.06,7.74,7.74,7.78,7.7,8.33,9.15,11.24,12.01,11.93,11.33,11.11,12.51,12.89,10.7,10.16
E12000007,London,E09000017,Hillingdon,3.56,3.73,4.08,4.79,5.22,6.08,7.04,7.32,7.36,7.86,7.92,7.93,7.28,7.8,7.44,7.39,7.28,8.68,10.38,11.78,12.35,13.02,11.65,11.18,13.12,13.19,12.87,12.09
E12000007,London,E09000018,Hounslow,3.87,4.52,5.3,5.51,6.26,6.89,7.41,7.65,7.44,8.61,8.97,8.48,7.55,7.92,7.63,8.17,8.88,9.38,10.08,10.76,11.14,11.41,11.18,11.5,11.86,12.17,12.13,11.4
E12000007,London,E09000019,Islington,5.18,6.13,6.37,7.33,7.59,7.02,8.53,8.22,8.8,8.38,9.63,9.76,9.19,10.77,11.25,11.05,11.92,13.61,15.72,15.17,15.66,14.73,14.56,15.44,15.26,14.68,14.37,12.86
E12000007,London,E09000020,Kensington and Chelsea,11.78,11.93,13.08,14.38,14.61,14.63,15.32,16.76,17.13,18.78,22.39,22.01,22.57,24.34,24.85,28.48,30.34,38.33,37.91,38.82,41.04,43.97,39.39,35.47,37.01,39.73,33.39,27.09
E12000007,London,E09000021,Kingston upon Thames,4.83,5.39,6.28,7.05,7.7,8.42,9.03,9.7,9.62,9.61,10.27,11.02,9.64,10.45,10.35,10.7,11.21,12.16,13.97,14.64,15.49,15.79,15.19,14.04,14.7,14.86,14.76,13.51
E12000007,London,E09000022,Lambeth,3.92,4.28,4.97,6.12,7.08,7.53,7.78,8,7.94,8.09,8.81,9.16,7.93,8.93,8.76,9.07,9.61,11.8,12.91,14.42,14.7,14.5,14.3,15.07,15.69,14.41,13.47,11.72
E12000007,London,E09000023,Lewisham,3.38,3.51,3.79,4.25,5.37,5.93,7.14,6.97,6.6,7.4,7.86,7.82,6.96,7.4,8.02,8.17,8.2,10,11.25,12.02,12.61,13.66,13.27,12.5,13.9,12.78,11.9,11.25
E12000007,London,E09000024,Merton,4.8,5.23,6.06,7.15,7.29,7.98,8.71,9.48,8.85,9.65,9.49,9.48,8.93,10.29,10.51,10.1,10.92,13.62,13.2,16.19,15.46,15.36,14.81,14.65,15.92,16.19,14.67,13.94
E12000007,London,E09000025,Newham,2.85,3.25,3.61,4.45,4.99,6.21,7.27,7.14,7.41,7.69,8.2,8.14,6.51,6.63,7.17,7.17,7.7,8.6,10.13,11.06,12.67,13.49,12.34,12.14,11.92,10.93,11.31,9.2
E12000007,London,E09000026,Redbridge,4.07,4.6,4.75,5.63,6.25,7.18,8.15,9.47,8.35,8.34,8.5,8.54,7.36,8.08,8.38,9.34,8.67,9.32,11.68,13.46,14.22,15.74,14.22,13.22,15.72,14.18,14.52,13.21
E12000007,London,E09000027,Richmond upon Thames,7,7.54,7.84,9.3,9.48,10.51,10.38,10.76,11,11.18,11.98,12.02,11.03,12.56,13.04,13.49,14.38,16.17,17.27,18.15,19.91,18.47,17.94,18.55,19.39,20.47,18.31,17.21
E12000007,London,E09000028,Southwark,3.82,4.4,5.05,5.83,6.49,6.7,6.82,7.43,8.02,7.68,8.38,9.13,8.26,8.7,8.94,9.01,9.53,11.56,12.69,13.46,14.15,13.88,13.87,12.33,13.34,12.63,12.87,11.09
E12000007,London,E09000029,Sutton,3.57,4.39,4.8,5.22,5.61,6.43,7.07,7.55,7.78,8.21,9.01,9.2,8.16,8.56,8.79,9.51,8.32,10.54,11.49,12.18,12.88,13.34,11.52,11.08,13.82,11.95,12.64,11.58
E12000007,London,E09000030,Tower Hamlets,3.8,4.25,5.04,5.52,5.76,6.34,6.08,5.83,6.08,6.29,6.69,7.16,6.37,6.86,6.53,6.73,6.79,7.76,8.78,10.06,9.82,9.85,10.68,10.21,11.93,10,8.36,7.31
