region_code,region-name,LA_code,LA_name,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
E12000007,London,E09000001,City of London,"130,000","161,000","180,000","191,995","235,000","240,000","290,000","280,000","305,000","323,000","395,000","377,500","381,250","452,500","455,000","474,000","575,000","700,000","823,750","800,000","849,975","888,099","920,000","895,000","798,000","850,000","930,000","750,000"
E12000007,London,E09000002,Barking and Dagenham,"52,000","58,000","63,000","74,995","86,000","107,000","137,000","155,750","163,000","165,000","180,000","191,000","163,500","167,000","170,000","172,000","178,500","205,000","235,000","277,000","302,000","305,000","315,500","320,000","335,000","360,000","378,000","362,000"
E12000007,London,E09000003,Barnet,"95,000","113,500","129,000","152,000","170,000","196,000","225,000","248,835","250,000","265,000","289,998","288,000","280,000","317,500","327,000","325,000","335,000","390,000","440,000","470,000","511,500","515,000","515,000","552,500","572,000","590,000","561,000","600,000"
E12000007,London,E09000004,Bexley,"70,000","77,000","83,500","95,500","112,000","132,000","159,000","173,000","182,000","190,000","208,000","215,000","195,000","210,000","217,000","211,000","220,000","249,000","271,000","321,998","335,000","350,000","355,000","366,500","387,000","415,000","415,500","420,000"
E12000007,London,E09000005,Brent,"80,000","93,000","106,000","132,950","154,000","179,000","207,000","223,000","235,000","248,500","274,000","283,000","270,000","280,000","300,000","317,250","340,000","374,225","400,000","450,000","475,000","495,000","495,000","490,000","520,000","535,000","550,000","555,000"
E12000007,London,E09000006,Bromley,"84,500","96,000","111,500","130,000","147,950","170,000","199,000","220,000","230,000","240,000","250,000","260,000","247,000","270,000","275,000","275,000","287,500","325,000","365,000","408,998","435,000","440,000","440,000","450,000","495,000","500,000","510,000","500,000"
E12000007,London,E09000007,Camden,"140,000","158,000","182,500","226,500","249,000","271,000","280,000","295,000","320,000","345,000","399,950","440,000","410,000","460,000","490,000","495,000","570,000","650,000","682,450","737,000","766,875","760,000","775,000","800,000","780,000","820,000","800,000","750,000"
E12000007,London,E09000008,Croydon,"69,000","77,000","85,000","102,550","123,500","143,000","168,000","183,000","194,000","199,950","219,950","230,000","205,000","215,000","219,998","226,000","235,000","250,000","295,000","331,000","360,050","375,000","385,000","386,750","412,000","415,000","420,000","415,000"
E12000007,London,E09000009,Ealing,"87,000","100,000","117,000","142,000","159,950","181,500","209,950","227,500","237,000","243,000","260,000","280,000","250,000","274,950","286,000","303,000","325,000","370,000","415,000","460,000","489,950","467,500","470,000","485,000","512,750","525,750","532,000","529,250"
E12000007,London,E09000010,Enfield,"76,000","83,000","90,000","109,000","125,000","145,000","175,000","189,000","200,000","207,000","227,000","236,000","225,000","235,000","240,000","245,000","250,000","280,000","320,000","375,000","402,000","400,000","407,250","420,000","460,000","460,000","475,000","460,000"
E12000007,London,E09000011,Greenwich,"64,995","73,500","84,000","104,025","119,000","142,500","165,000","177,500","195,250","207,500","218,995","234,000","218,000","240,000","249,999","245,000","255,000","310,000","332,000","385,000","420,000","430,000","457,800","446,700","460,000","475,000","470,000","450,000"
