LA_code,LA_name,Metric,2016,2017,2018,2019,2020,2021,2022,2023,2024
E09000001,City of London,salary,"55,487","56,295","61,203","61,527","60,407","63,000","61,911","62,015","64,008"
E09000002,Barking and Dagenham,salary,"30,994","28,553","29,995","28,739","32,444","32,482","31,559","34,341","35,777"
E09000003,Barnet,salary,"32,623","32,143","29,927","31,637","34,022","34,800","34,021","38,457","35,959"
E09000004,Bexley,salary,"29,177","30,733","30,858","31,656","31,742","29,194","34,976","35,728","37,948"
E09000005,Brent,salary,"30,699","30,134","30,366","31,706","34,046","33,633","42,766","36,160","37,822"
E09000006,Bromley,salary,"30,861","29,819","30,762","31,765","34,975","34,432","36,640","40,138","41,575"
E09000007,Camden,salary,"37,817","38,147","39,198","40,238","40,422","41,262","44,583","45,326","47,882"
E09000008,Croydon,salary,"31,479","32,109","33,804","35,654","34,107","34,911","38,726","38,696","43,337"
E09000009,Ealing,salary,"29,241","30,259","29,928","31,032","32,685","32,213","34,810","37,856","40,302"
E09000010,Enfield,salary,"28,918","29,134","29,238","28,170","31,143","30,808","36,278","35,885","39,025"
E09000011,Greenwich,salary,"30,180","32,635","33,163","33,214","34,257","34,429","33,719","37,420","38,279"
E09000012,Hackney,salary,"32,404","33,618","35,286","35,082","36,756","39,181","43,182","45,094","49,245"
E09000013,Hammersmith and Fulham,salary,"35,000","36,972","40,972","38,177","41,807","39,419","40,739","44,642","46,247"
E09000014,Haringey,salary,"29,753","31,442","29,801","30,515","33,613","32,485","32,825","35,654","39,453"
E09000015,Harrow,salary,"30,134","31,255","30,553","32,812","29,644","33,811","33,466","34,818","38,083"
E09000016,Havering,salary,"28,906","29,134","30,181","32,227","33,946","31,985","33,366","40,653","42,795"
E09000017,Hillingdon,salary,"33,093","33,596","31,886","35,359","38,024","34,530","34,259","36,142","40,120"
E09000018,Hounslow,salary,"36,235","34,119","35,935","36,672","36,958","37,940","38,209","39,151","41,653"
E09000019,Islington,salary,"39,894","39,348","40,000","41,199","42,105","41,946","45,290","48,006","50,532"
