date,pipr,uk_hpi
01/01/2016,3.3,7.8
01/02/2016,3.3,7.7
01/03/2016,3.4,8.4
01/04/2016,3.3,7.9
01/05/2016,3.2,8
01/06/2016,3.3,8.2
01/07/2016,3.4,7.5
01/08/2016,3.3,6.5
01/09/2016,3.2,6.1
01/10/2016,3.3,5.6
01/11/2016,3.4,5.3
01/12/2016,3.4,5.2
01/01/2017,3.3,4.8
01/02/2017,3.2,4.9
01/03/2017,3,3.6
01/04/2017,3,4.9
01/05/2017,2.7,4.3
01/06/2017,2.6,4.2
01/07/2017,2.5,4.5
01/08/2017,2.2,4.9
01/09/2017,1.9,4.7
01/10/2017,1.8,5.1
01/11/2017,1.6,4.3
01/12/2017,1.5,4.6
01/01/2018,1.2,4.3
01/02/2018,1.3,4.4
01/03/2018,1,4
01/04/2018,0.8,3.3
01/05/2018,0.8,3.1
01/06/2018,0.7,2.9
01/07/2018,0.6,2.9
01/08/2018,0.7,2.7
01/09/2018,0.9,2.9
01/10/2018,1,2.7
01/11/2018,1.1,2.6
01/12/2018,1.2,2
01/01/2019,1.4,1.7
01/02/2019,1.4,1.2
01/03/2019,1.6,1.5
01/04/2019,1.6,1.3
01/05/2019,2.1,1
01/06/2019,2,0.7
01/07/2019,1.9,0.6
01/08/2019,2,0.6
01/09/2019,2.2,0.9
01/10/2019,2.2,0.7
01/11/2019,2.1,0.8
01/12/2019,2.1,0.9
01/01/2020,2.2,1.6
01/02/2020,2.2,1.3
01/03/2020,2.2,2.5
01/04/2020,2.1,0.7
01/05/2020,1.8,1.1
01/06/2020,1.8,2
01/07/2020,1.9,1.7
01/08/2020,1.7,2.4
01/09/2020,1.5,3.4
01/10/2020,1.5,4.6
01/11/2020,1.3,6
01/12/2020,1.2,7
01/01/2021,1.1,6.9
01/02/2021,1.1,7.8
01/03/2021,1.1,8.5
01/04/2021,1.1,7.9
01/05/2021,1,8.1
01/06/2021,1.2,12.3
01/07/2021,1.1,6.1
01/08/2021,1.3,8.3
01/09/2021,1.5,10.3
01/10/2021,1.7,6.6
01/11/2021,2,7.6
01/12/2021,2.5,7.3
01/01/2022,2.7,8.6
01/02/2022,3,8.4
01/03/2022,3.2,7.2
01/04/2022,3.6,10.1
01/05/2022,4,10.6
01/06/2022,4.1,6.3
01/07/2022,4.5,13.6
01/08/2022,4.8,11.2
01/09/2022,5.1,8.3
01/10/2022,5.2,11.1
01/11/2022,5.5,8.8
01/12/2022,5.6,7.3
01/01/2023,5.8,5.2
01/02/2023,6,4.2
01/03/2023,6.2,2.7
01/04/2023,6.6,1.7
01/05/2023,7.2,0.9
01/06/2023,7.6,0.1
01/07/2023,7.9,-0.7
01/08/2023,8.1,-1
01/09/2023,8.1,-1.7
01/10/2023,8.4,-2.1
01/11/2023,8.4,-2.6
01/12/2023,8.4,-2.7
01/01/2024,8.5,-1.9
01/02/2024,8.9,-1.6
01/03/2024,9.1,-0.3
01/04/2024,8.9,0
01/05/2024,8.7,0.5
01/06/2024,8.6,0.5
01/07/2024,8.5,0.5
01/08/2024,8.4,1
01/09/2024,8.4,1.4
01/10/2024,8.6,2.2
01/11/2024,9,2.8
01/12/2024,9,3.6
01/01/2025,8.7,3.7
01/02/2025,8.1,4.6
01/03/2025,7.7,5.7
01/04/2025,7.4,2.4
01/05/2025,7,2.5
01/06/2025,6.7,3.6
01/07/2025,5.9,2.8
