date,uk,Wales,Scotland,northern_ireland,north_east,north_west,yorkshire,east_midlands,west_midlands,East ,London,south_east,south_west
01/01/2015,81.3,82.2,79.7,75.1,86.1,79.5,81.9,76.6,79,76.4,86.3,79.7,76
01/02/2015,81.4,82.5,80,75.1,86.1,79.7,81.8,76.7,79.3,76.8,86.5,79.8,76.1
01/03/2015,81.7,82.6,80.2,75.1,86.1,79.8,81.9,76.8,79.6,77.1,86.9,79.9,76.3
01/04/2015,82,82.8,80.4,75.2,86.2,79.9,81.9,76.8,79.7,77.4,87.5,80.2,76.5
01/05/2015,82.3,82.8,80.6,75.3,86.2,80,81.8,76.9,80,77.7,88.3,80.3,76.7
01/06/2015,82.5,83,80.7,75.3,86.3,79.9,81.6,77.1,80.1,78,88.5,80.5,76.7
01/07/2015,82.7,83,80.8,75.4,86.3,80.1,81.7,77.3,80.3,78.3,88.7,80.8,76.9
01/08/2015,83,82.8,81.1,75.5,86.5,80.2,81.7,77.5,80.4,78.6,89.3,81,77.2
01/09/2015,83.3,82.8,81.2,75.6,86.5,80.4,82,77.7,80.6,79,89.7,81.3,77.3
01/10/2015,83.4,82.9,81.3,75.8,86.5,80.5,81.9,77.9,80.7,79.4,89.8,81.5,77.4
01/11/2015,83.6,83.1,81.3,75.8,86.7,80.8,82.1,77.9,80.8,79.8,89.8,82,77.8
01/12/2015,83.8,83.1,81.2,75.9,86.7,80.8,82.1,77.9,81.4,80.1,90.1,82.2,78
01/01/2016,84,83.2,81.4,76,86.8,80.8,82,78.1,81.6,80.4,90.3,82.5,78
01/02/2016,84.1,83.2,81.4,76.1,86.9,81,81.8,78.1,81.8,80.8,90.4,82.8,78.3
01/03/2016,84.5,83.3,81.5,76.2,87,81.1,82.1,78.2,82,81.2,90.9,83.1,78.6
01/04/2016,84.7,83.3,81.6,76.4,87.1,81.3,82.3,78.4,82.2,81.6,91,83.5,78.9
01/05/2016,84.9,83.2,81.7,76.5,87.2,81.4,82.5,78.6,82.2,81.9,91.5,83.8,79.2
01/06/2016,85.2,83.2,81.6,76.5,87.4,81.6,82.6,78.8,82.5,82.3,91.7,84.1,79.6
01/07/2016,85.5,83.3,81.8,76.5,87.9,81.8,82.7,79.2,82.6,82.6,92.2,84.5,79.9
01/08/2016,85.8,83.6,81.8,76.6,88.1,82,82.9,79.4,83,82.9,92.4,84.9,80.1
01/09/2016,86,83.9,82,76.4,88.4,82.1,83.1,79.6,83.3,83.3,92.6,85.2,80.3
01/10/2016,86.2,84,82.2,76.5,88.6,82.2,83.2,79.9,83.6,83.7,92.7,85.6,80.8
01/11/2016,86.4,84.1,82.3,76.4,88.9,82.3,83.3,80.2,83.8,84,92.8,85.9,81.2
01/12/2016,86.6,84.2,82.3,76.5,88.9,82.5,83.6,80.4,83.9,84.2,93,86.1,81.6
01/01/2017,86.8,84.4,82.5,76.5,89,82.6,83.8,80.7,84.1,84.6,93.1,86.3,81.7
01/02/2017,86.9,84.6,82.7,76.5,89.4,82.8,83.9,81,84.1,84.9,93,86.5,81.8
01/03/2017,87,84.7,82.7,76.6,89.4,83.1,84.1,81,84.2,85.2,93.1,86.7,81.9
01/04/2017,87.2,84.7,83,76.9,89.3,83.3,84.6,81.4,84.4,85.4,93.2,87,82.1
01/05/2017,87.2,84.9,83.3,77.1,89.4,83.5,84.6,81.5,84.6,85.5,92.9,87,82.2
01/06/2017,87.4,85.4,83.4,77.2,89.4,83.6,84.6,81.7,85,85.8,93.2,87.1,82.4
01/07/2017,87.6,85.7,83.7,77.4,89.5,83.7,84.7,81.9,85.4,86,93.5,87.3,82.6
01/08/2017,87.7,85.8,84,77.7,89.5,83.9,84.9,82.1,85.6,86.1,93.2,87.5,82.9
01/09/2017,87.6,86,84.1,78,89.5,84.1,85,82.4,85.7,86.4,92.8,87.6,83.1
01/10/2017,87.8,86.1,84.3,78,89.4,84.3,85.2,82.6,85.8,86.6,92.9,87.6,83.3
01/11/2017,87.8,86.2,84.3,78.2,89.5,84.8,85.3,83,85.9,86.7,92.8,87.7,83.5
01/12/2017,87.9,86.4,84.4,78.4,89.5,85,85.5,83.2,86,86.9,92.7,87.8,83.7
01/01/2018,87.8,86.2,84.6,78.5,89.4,85,85.5,83.2,86.1,86.9,92.3,87.8,83.7
01/02/2018,88,86.2,84.8,78.7,89.4,85.1,85.4,83.5,86.4,87.2,92.5,87.9,83.8
01/03/2018,87.9,86.5,85.1,78.9,89.5,85.2,85.6,83.6,86.5,87.3,92,88.1,83.8
01/04/2018,87.9,86.7,85.3,79.3,89.4,85.4,85.8,83.9,86.8,87.4,91.7,88.1,84
01/05/2018,87.9,86.9,85.4,79.5,89.3,85.4,85.9,84.1,86.9,87.4,91.5,88.1,84.1
01/06/2018,88,87,85.5,79.6,89.6,85.5,85.9,84.4,87,87.5,91.5,88.2,84.2
01/07/2018,88.1,87.1,85.6,79.8,89.6,85.6,85.9,84.6,87.1,87.7,91.8,88.4,84.3
01/08/2018,88.3,87.3,85.8,80,89.6,85.8,86,84.8,87.2,87.8,92,88.5,84.5
01/09/2018,88.4,87.5,85.8,80.3,89.7,86,86.3,85.9,87.4,88,91.8,88.7,84.6
01/10/2018,88.6,87.5,85.9,80.4,90,86.1,86.3,86.3,87.8,88.1,92.1,88.8,84.8
01/11/2018,88.8,87.6,86.1,80.3,89.9,86.2,86.5,86.9,87.9,88.3,92.4,88.9,85
01/12/2018,89,88,86.2,80.5,89.9,86.2,86.6,86.8,88,88.3,92.7,89.2,85.2
01/01/2019,89,88.1,86.2,80.7,89.9,86.2,86.8,87.1,88.3,88.5,92.6,89.3,85.2
01/02/2019,89.2,88.2,86.3,80.8,89.8,86.1,86.9,87.2,88.3,88.8,92.9,89.4,85.4
01/03/2019,89.3,88.3,86.5,80.9,90,86.3,87,87.3,88.3,88.8,92.9,89.4,85.4
01/04/2019,89.3,88.6,86.8,81,90,86.5,87.2,87.4,88.5,88.9,92.7,89.5,85.6
01/05/2019,89.7,88.5,87,81.1,90.1,86.6,87.2,87.6,88.6,89.1,93.7,89.7,85.9
01/06/2019,89.7,88.7,87.4,81.2,90.3,86.6,87.4,87.7,88.5,89.2,93.5,89.8,85.9
01/07/2019,89.8,88.6,87.6,81.4,90.4,86.7,87.5,87.9,88.6,89.3,93.5,90,86
01/08/2019,90,88.8,87.8,81.7,90.2,87,87.7,88,88.9,89.5,93.7,90.3,86.1
01/09/2019,90.3,89.5,88,81.8,90.3,87.1,88.2,88.3,89.3,89.7,94.1,90.4,86.4
01/10/2019,90.5,89.5,88.2,82,90.6,87.2,88.4,88.6,89.6,89.8,94.4,90.5,86.5
01/11/2019,90.7,89.8,88.4,82.1,90.8,87.3,88.7,88.8,89.7,89.9,94.7,90.5,86.7
01/12/2019,90.8,89.9,88.5,82.2,90.8,87.4,89,88.7,89.7,90,94.9,90.6,86.9
01/01/2020,91,90,88.7,82.5,91,87.7,89,88.7,89.9,90.1,95,90.7,87.1
01/02/2020,91.1,90.1,88.6,82.6,90.9,87.7,89.2,88.9,90.1,90.3,95.3,90.8,87.2
01/03/2020,91.2,90.1,88.9,82.6,90.9,87.8,89.3,89,90.1,90.3,95.5,90.8,87.3
01/04/2020,91.2,90.2,89.2,82.8,91,88.1,89.3,89.2,90.1,90.3,95.1,90.9,87.3
01/05/2020,91.3,90.5,89.3,83,91,88.3,89.5,89.3,90.5,90.4,95.2,91,87.5
01/06/2020,91.4,90.7,89.2,83.1,91.3,88.4,89.6,89.4,90.6,90.4,95.1,91.1,87.7
01/07/2020,91.5,91.1,89.3,83.3,91.3,88.5,89.9,89.4,90.8,90.3,95.3,91.2,87.8
01/08/2020,91.6,91.1,89.3,83.6,91.4,88.9,90,89.6,91.2,90.5,95.3,91,88.1
